,title,price,year,link,brand,location,age
304,"2023 triumph tiger 900 gt - like new, extras",9900,2023.0,https://richmond.craigslist.org/mcy/d/henrico-2023-triumph-tiger-900-gt-like/7785497798.html,harley-davidson,richmond,2.0
305,"2023 triumph tiger 900gt - like new, w/extras",9900,2023.0,https://washingtondc.craigslist.org/nva/mcy/d/henrico-2023-triumph-tiger-900gt-like/7785497547.html,harley-davidson,washingtondc,2.0
306,one owner 2005 c90 boulevard,4000,2005.0,https://easternshore.craigslist.org/mcy/d/cambridge-one-owner-2005-c90-boulevard/7785494384.html,missing,easternshore,20.0
307,yamaha vino 50cc scooter. runs great.,1400,,https://washingtondc.craigslist.org/nva/mcy/d/clifton-yamaha-vino-50cc-scooter-runs/7785482046.html,yamaha,washingtondc,
308,voro roadrunner v2 newly refurbished scooter,1200,,https://baltimore.craigslist.org/mcy/d/baltimore-voro-roadrunner-v2-newly/7785455737.html,missing,baltimore,
309,vintage honda mechanic,0,,https://charlottesville.craigslist.org/mcy/d/keswick-vintage-honda-mechanic/7785452452.html,honda,charlottesville,
310,bmw k1200rs 2001,2250,2001.0,https://washingtondc.craigslist.org/mld/mcy/d/kensington-bmw-k1200rs-2001/7785443534.html,bmw motorrad,washingtondc,24.0
311,2013 harley-davidson ultra classic electra glide ultra classic,7500,2013.0,https://york.craigslist.org/mcd/d/york-2013-harley-davidson-ultra-classic/7785383921.html,harley-davidson,york,12.0
312,2021 harley davidson electra glide,13750,2021.0,https://norfolk.craigslist.org/mcd/d/gloucester-2021-harley-davidson-electra/7785382377.html,harley-davidson,norfolk,4.0
313,2008 ktm 990 sdr,6700,2008.0,https://washingtondc.craigslist.org/nva/mcy/d/arlington-2008-ktm-990-sdr/7785381239.html,ktm,washingtondc,17.0
314,harley-davidson 2020 iron 883,7599,2020.0,https://baltimore.craigslist.org/mcy/d/cockeysville-harley-davidson-2020-iron/7785342850.html,harley-davidson,baltimore,5.0
315,1972 yamaha xs 650,5500,1972.0,https://york.craigslist.org/mcd/d/york-1972-yamaha-xs-650/7785335560.html,yamaha,york,53.0
316,2001 yamaha road star,2800,2001.0,https://fredericksburg.craigslist.org/mcy/d/garrisonville-2001-yamaha-road-star/7785328729.html,yamaha,fredericksburg,24.0
317,it deserves better,2000,,https://washingtondc.craigslist.org/mld/mcy/d/bowie-it-deserves-better/7785312611.html,missing,washingtondc,
318,'07 streetglide,7900,,https://roanoke.craigslist.org/mcy/d/hardy-07-streetglide/7785310094.html,missing,roanoke,
319,2008 klr650,2500,2008.0,https://york.craigslist.org/mcy/d/new-oxford-2008-klr650/7785295687.html,missing,york,17.0
